trial,target_number,time_seconds,hit,horizontal_angular_error_degrees,distance_error_3d_meters
14,5,0.714,0,10.557,1.493
15,5,0.706,0,10.419,1.496
16,5,0.749,0,10.666,1.509
17,5,0.642,0,10.186,1.494
18,5,0.663,0,9.284,1.481
19,5,0.834,1,7.738,1.461
20,5,2.288,1,7.238,1.499
21,5,1.607,0,18.873,1.695
22,5,2.772,0,41.119,2.385
23,5,3.998,0,35.022,3.193
24,5,0.506,0,13.422,2.244
25,5,0.388,0,11.756,2.994
26,5,0.338,0,13.816,2.401
27,5,0.418,1,4.592,1.571
28,5,0.310,1,2.099,1.391
29,5,0.735,1,2.308,1.467
30,5,1.549,1,3.871,1.256
31,5,1.275,1,5.137,0.988
32,5,0.915,1,3.375,1.080
33,5,0.755,0,10.815,1.354
34,5,0.976,1,8.440,1.551
35,5,0.831,1,1.496,1.489
36,5,0.820,0,11.512,1.588
37,5,2.047,0,12.971,1.571
38,5,1.115,1,9.201,1.481
39,5,1.753,0,65.657,3.332
40,5,0.977,0,72.528,3.465
41,5,0.666,0,77.325,3.526
42,5,0.749,1,88.959,3.610
43,5,2.228,1,89.513,3.615
44,5,1.006,0,66.613,3.279
45,5,0.766,1,60.045,3.105
1,2,16.148,0,44.576,4.984
2,2,1.578,0,80.734,6.754
3,2,0.852,0,47.250,4.789
4,2,0.992,0,14.648,2.029
5,2,0.866,1,0.230,1.777
6,2,5.456,1,1.623,0.378
7,2,1.261,1,2.325,1.273
8,2,1.086,0,11.593,1.740
9,2,1.408,0,10.007,1.504
10,2,1.134,1,5.866,1.500
11,2,1.461,0,24.415,2.380
12,2,0.881,0,46.268,3.329
13,2,0.933,0,22.769,1.819
14,2,0.977,0,9.659,1.075
15,2,1.076,1,0.093,1.471
16,2,1.203,0,2.291,0.284
17,2,1.717,1,1.400,0.754
18,2,1.028,1,0.737,1.744
19,2,2.432,1,1.692,1.312
20,2,4.488,1,2.677,1.472
21,2,0.715,0,14.883,1.976
22,2,0.618,0,15.059,2.015
23,2,0.664,1,2.508,1.278
1,3,31.278,0,63.706,4.867
2,3,1.249,0,41.705,3.583
3,3,1.740,0,23.685,1.818
4,3,0.737,1,0.318,0.705
5,3,2.786,1,6.195,1.079
6,5,3.076,0,152.384,2.135
7,5,2.648,1,2.347,0.695
8,5,0.985,0,34.529,1.607
9,5,0.835,0,73.620,1.951
10,5,1.886,1,11.078,1.040
